reference_no,type,citation
1300,Full,"Miyata, Giebel, and Kiyota 2015, <i>Esoteric Texts</i>: The Sutra of the Vow of Fulfilling the Great Perpetual Enjoyment and Benefiting All Sentient Beings Without Exception (Taishō Volume 8, Number 243), Translated by Taisen Miyata, The Mātaṅga Sutra (Taishō Volume 21, Number 1300) Translated by Rolf W. Giebel, The Bodhicitta Śāstra (Taishō Volume 32, Number 1665) Translated by Minoru Kiyota, BDK America <a href='https://bdkamerica.org/product/esoteric-texts/'>https://bdkamerica.org/product/esoteric-texts/</a>."
1305,Full,"Orzech, Charles D. and Sanford, James H. 2000, “Worship of the Ladis of the Dipper,” In: David G. White (ed.), <i>Tantra in Practice</i>, Princeton: Princeton University Press, pp. 392–393."
1306,Full,"Orzech, Charles D. and Sanford, James H. 2000, “Worship of the Ladis of the Dipper,” In: David G. White (ed.), <i>Tantra in Practice</i>, Princeton: Princeton University Press, pp. 393–395."
1307,Full,"Orzech, Charles D. and Sanford, James H. 2000, “Worship of the Ladis of the Dipper,” In: David G. White (ed.), <i>Tantra in Practice</i>, Princeton: Princeton University Press, pp. 389–392."
1313,Full,"Orzech, Charles D. 1996, “Saving the Burning-Mouth Hungry Ghost,” In: Donald S. Lopez (ed.) <i>Religions of China in Practice</i>, Princeton: Princeton University Press. pp. 280–283."
1313,Full,"Lye, Hun Yeow 2003, <i>Feeding Ghosts: A Study of the Yuqie Yankou Rite,</i> PhD Dissertation, University of Virginia, pp. 417–425."
1314,Full,"Lye, Hun Yeow 2003, <i>Feeding Ghosts: A Study of the Yuqie Yankou Rite,</i> PhD Dissertation, University of Virginia, pp. 417–425."
1315,Full,"Lye, Hun Yeow 2003, <i>Feeding Ghosts: A Study of the Yuqie Yankou Rite,</i> PhD Dissertation, University of Virginia, pp. 426–431."
1323,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1324,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1325,Full,"Veith, Ilza and Atsumi, Minami 1966, “A Buddhist Prayer Against Sickness,” <i>History of Religions</i> 5-2, pp. 239-249."
1325,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1326,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1326,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1327,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1328,Full,"Salguero, C. Pierce 2017, “Healing Dhāraṇīs: A Collection of Medieval Spells from the Taishō Tripiṭaka,” In: P. Salguero (ed.), <i>Buddhism and Medicine - An Anthology of Premodern Sources</i>, New York: Columbia University Press, pp. 292-303."
1330,Full,"Bagchi, Prabodh Chandra 1941, “New Materials for the Study of the Kumāratantra of Rāvaṇa,” <i>Indian Culture</i> Vol. 7 No. 3, pp. 269-286."
1332,Partial,"Silk, Jonathan A. 2008 “The Jifayue sheku tuoluoni jing–Translation, non-translation, both or neither?” <i>Journal of the International Association of Buddhist Studies</i>: 369-420."
1336,Partial,"Silk, Jonathan A. 2008 “The Jifayue sheku tuoluoni jing–Translation, non-translation, both or neither?” Journal of the International Association of Buddhist Studies: 369-420."
