reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
861,18,1,毘盧遮那五字真言修習儀軌,Piluzhena Wu Zi Zhenyan Xiu Xi Yi Gui ,Vairocana Five Character Mantra Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Explains the meaning of the Five Character Mantra; a text included within the 大日經類 Vairocana Sutra group of sutras.,"This text does not appear in the Korean Canon. A Taisho footnote for T 861 reads: ＜原＞延享元年刊大正大學藏本, ＜甲＞平安時代寫本高山寺藏豊山版 Source: transcribed into the Taisho University Canon edition in the first year of the Enkyō era [1744-1748]; 1. a manuscript was transcribed into the Takayama Temple repository during the Heian Period Notes [794－1192].",Taisho University Canon,http://tripitaka.cbeta.org/T18n0861,2016-09-28
862,18,1,阿闍梨大曼荼攞灌頂儀軌,Asheli Da Man Tu Luo Guan Ding Yi Gui,Acarya Mandala Consecration Ritual Manual,,,,,,,,Describes abhiseka consecration; a text included within the 大日經類 Vairocana Sutra group of sutras.,"This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞享和元年刊長谷寺藏本, ＜甲＞平安時代寫覺海本高山寺藏本, ＜乙＞平安時代寫高山寺藏本, ＜丙＞承元二年行辨傳受本東寺三蜜藏本 Source: Hase-dera canon published in the first year of the Kyōwa [1801-1804], 1. transcribed by Kakukai into the Takayama Temple canon in the Heian Period [794－1192]; 2. received into the Tō-ji sanmitsu canon in the second year of the Jōgen era [1207-1211].",Hase-dera,http://tripitaka.cbeta.org/T18n0862,2016-09-28
863,18,1,大毘盧遮那經阿闍梨真實智品中阿闍梨住阿字觀門,Da Piluzhena Jing Asheli Zhenshi Zhi Pin Zhong Asheli Zhu A Zi Guan Men,Ācārya's True Knowledge Chapter of the Vairocana Sutra: Contemplation on the Letter A,惟謹,述,Wei Jin,Narrated,唐,Tang,618-907,A description of ritual meditation; a text included within the 大日經類 Vairocana Sutra group of sutras.,This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞大日本續藏經 Source: Dai Nippon Zokuzōkyō,Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T18n0863,2016-09-28
864A,18,1,大日如來劍印,Dari Rulai Jian Yin,Vairocana Sword Mudra,,,Unknown,,,,,Describes chanting of matras and use of mudras; a text included within the 大日經類 Vairocana Sutra group of sutras.,"This text contains Siddham characters that are not displayed in the NTI Reader. Please see <a href=""https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php?"">SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon version published 1st year of the Kyōwa era [1801-1804].",Hase-dera,http://tripitaka.cbeta.org/T18n0864A,2016-09-28
864B,18,1,胎藏金剛教法名號,Tai Cang Jingang Jiaofa Minghao,Names of the Womb Matrix and Vajra Teachers,義操,集,Yi Cao,Compiled,唐,Tang,618-907,A text included within the 大日經類 Vairocana Sutra group of sutras.,"This text does not appear in the Korean Canon. A Taishō footnote for the text reads: ＜原＞正應二年寫東寺三密藏藏本, ＜甲＞大日本續藏經 Source: Tō-ji Sanmitsu Canon manuscript, 2nd year of the Shōō era [1288-1293]; 1. Dai Nippon Zokuzōkyō.",Sanmitsu Canon,http://tripitaka.cbeta.org/T18n0864B,2016-09-28
865,18,3,金剛頂一切如來真實攝大乘現證大教王經,Jingang Ding Yiqie Rulai Zhenshi She Dasheng Xian Zheng Da Jiao Wang Jing,Sarvatathāgatatattvasaṁgraha,不空,譯,Amoghavajra,Translated,唐,Tang,753,"The Adamantine Pinnacle Sutra is one of the most important texts in East Asian Esoteric Buddhism. It is considered a Yogic Tantra. This text is a translation of the first chapter of the Indian source text Vajradhatumahamandalavidhivistara. There are two other translations of the Indian source: T 866 and T 882. The content of the text includes descriptions of three tantric samadhis, the process of enlightenment of Sarvarthasiddhi Bodhisattva, and the empowerment of an assembly of deities. Later sections describe initiation rites, description of the Great Mandala, mudras, and the benefits obtained from the rites.","Sanskrit title and date 753 from Lancaster (2004, 'K 1274')",Korean Canon,http://tripitaka.cbeta.org/T18n0865,2016-09-28
866,18,4,金剛頂瑜伽中略出念誦經,Jingang Ding Yujia Zhong Lue Chu Niansong Jing,Visualizing and Reciting Method of the Abbreviated Diamond Pinnacle Yoga,金剛智,譯,Vajrabodhi,Translated,唐,Tang,723,Another translation of Sarvatathāgatatattvasaṃgraha; see T 865.,"Sanskrit title and date 723 from Lancaster (2004, 'K 429')",Korean Canon,http://tripitaka.cbeta.org/T18n0866,2016-09-28
867,18,2,金剛峰樓閣一切瑜伽瑜祇經,Jingang Feng Louge Yiqie Yujia Yu Zhi Jing,Diamond Pinnacle Yoga Teachers Sutra,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,"A text thought to be composed in China, included within the 金剛頂經類 Vajraśekhara sūtra group of related texts","This text does not appear in the Korean Canon. A Taishō footnote for this sutras reads: ＜原＞明本, ＜甲＞三十帖策子第五, ＜乙＞縮册大藏經 Source: Ming Canon; 1. Sanjuji sakushi, no. 5; 2. Shukusatsu daizōkyō [Reduced Print Canon].",Ming Canon,http://tripitaka.cbeta.org/T18n0867,2016-09-28
868,18,3,諸佛境界攝真實經,Zhu Fo Jingjie She Zhenshi Jing,The Buddha Realms Emcompass True Reality Sutra,般若,譯,Prajñā,Translated,唐,Tang,618-907,Related to part 1 of the Sarvatathāgatatattvasaṃ graha (T 865). A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this sutra reads: ＜原＞縮刷大藏經, ＜甲＞嘉承二年寫高山寺藏本, ＜乙＞黄檗版淨嚴等校訂加筆靈雲校本塚本賢曉氏藏本, 黄檗版本以朱或墨校讐註記 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. transcribed into the Takayama Temple edition in the second year of the Kajō era [1106-1108], 2. Revised and text added by Jōgon and et. al. to the Reiun collated version, Tsukamoto Zenryū family edition, and Ōbaku Canon use red or black ink for collation notes.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0868,2016-09-28
869,18,1,金剛頂經瑜伽十八會指歸,Jingang Ding Jing Yujia Shiba Hui Zhi Gui,Synopsis of the Yoga of Eighteen Assemblies of the Diamond Pinnacle Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Describes ritual aspects of the Sarvatathāgatatattvasaṃgraha (T 865). A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 746-774 from Lancaster (2004, 'K 1289'). Presented to the imperial court in 771 by Amoghavajra (Goble 2019, p. 264).",Korean Canon,http://tripitaka.cbeta.org/T18n0869,2016-09-28
870,18,1,略述金剛頂瑜伽分別聖位修證法門,Lue Shu Jingang Ding Yujia Fenbie Sheng Wei Xiu Zheng Famen,Summary of the Vajra Crown Yoga Teaching on Cultivation and Realization of Sagehood,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Describes ritual aspects of the Sarvatathāgatatattvasaṃgraha (T 865). A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 746-774 from Lancaster (2004, 'K 1291')",Korean Canon,http://tripitaka.cbeta.org/T18n0870,2016-09-28
871,18,1,金剛頂瑜伽略述三十七尊心要,Jingang Ding Yujia Lue Shu San Shi Qi Zun Xin Yao,Outline of the Diamond Pinnacle Yoga and Summary Description of the Thirty-Seven Worthies,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Describes ritual aspects of the Sarvatathāgatatattvasaṃgraha (T 865). A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this sutra reads: ＜原＞縮刷大藏經 Source: Shukusatsu daizōkyō [Reduced Print Canon].,Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0871,2016-09-28
872,18,1,金剛頂瑜伽三十七尊出生義,Jingang Ding Yujia San Shi Qi Zun Chusheng Yi,The Meaning of the Birth of the Thirty-Seven Worthies in the Diamond Pinnacle Yoga,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Describes the thirty-seven deities layed out in the 金剛界曼荼羅 vajradhatu-mandala. A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞縮刷大藏經 Source: Shukusatsu daizōkyō [Reduced Print Canon].,Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0872,2016-09-28
873,18,1,金剛頂蓮華部心念誦儀軌,Jingang Ding Lianhua Bu Xin Niansong Yi Gui,Vajra Crown  and Lotus Division Chanting Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Describes offerings to the deities in the Vajradhatu Mandala, including mudras and mantras; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.","Date 746-774 from Lancaster (Lancaster 2004, 'K 1310')",Korean Canon,http://tripitaka.cbeta.org/T18n0873,2016-09-28
874,18,2,金剛頂一切如來真實攝大乘現證大教王經,Jingang Ding Yiqie Rulai zhenshi She Dasheng Xian Zheng Da Jiao Wang Jing,"Sutra of the Correct Inclusion in the Great Vehicle of Present Awakening of all the Tathagatas of the Diamond Pinnacle, the Great King of Teachings",不空,譯,Amoghavajra,Translated,唐,Tang,618-907,A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞増上寺報恩藏明本, ＜甲＞黄蘗版淨嚴等校訂加筆本塚本賢曉氏藏, ＜乙＞縮册大藏經 Source: Zōjō-ji [temple] Hōon Canon, Ming edition; 1. Ōbaku Canon with revisions and notes by Jōgon Tsukamoto family collection; 2. Shukusatsu daizōkyō.",Zōjō-ji,http://tripitaka.cbeta.org/T18n0874,2016-09-28
875,18,1,蓮華部心念誦儀軌,Lianhua Bu Xin Niansong Yi Gui,Lotus Division Chanting Ritual Manual,失,譯,Unknown,Translated,,,,"Siddham letters for mantras, related to T 873; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞平安時代寫東寺三密藏藏本 Source: Tō-ji [temple] Sanmitsu Canon manuscript, Heian Period [794－1192].",Sanmitsu Canon,http://tripitaka.cbeta.org/T18n0875,2016-09-28
876,18,1,金剛頂瑜伽修習毘盧遮那三摩地法,Jingang Ding Yujia Xiu Xi Piluzhena Sanmodi Fa,Vajra Crown  Yoga and Vairocana Samadhi Ritual,金剛智,譯,Vajrabodhi,Translated,唐,Tang,731-736,A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 731-736 from Lancaster (2004, 'K 1268')",Korean Canon,http://tripitaka.cbeta.org/T18n0876,2016-09-28
877,18,1,金剛頂經毘盧遮那一百八尊法身契印,Jingang Ding Jing Piluzhena Yibai Ba Zun Fashen Qi Yin,Vajra Crown Tantra and Vairocana One Hundred and Eight Worthy Dharma Bodies and Mudras,善無畏．一行,譯,Subhakarasimha ansd Yixing,Translated,唐,Tang,618-907,Contains Siddham letters for changing and mudras; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮册大藏經 Source: Shukusatsu daizōkyō [Reduced Print Canon].,Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0877,2016-09-28
878,18,1,金剛頂經金剛界大道場毘盧遮那如來自受用身內證智眷屬法身異名佛最上乘祕密三摩地禮懺文,Jingang Ding Jing Jingang Jie Dadao Chang Piluzhena Rulai Zi Shouyong Shen Nei Zheng Zhi Juanshu Fashen Yiming Fo Zuishang Cheng Mimi Sanmodi Li Chan Wen,"Vajra Crown Tantra Vajradhatu Bodhimanda Vairocana Tathagata Sambhogakaya Inner Realization Wisdom Dharma Body, also known as the Supreme Buddha Vehicle Esoteric Liturgy",不空,譯,Amoghavajra,Translated,唐,Tang,774,A repentance ritual included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 774 from Lancaster (Lancaster 2004, 'K 1332')",Korean Canon,http://tripitaka.cbeta.org/T18n0878,2016-09-28
879,18,1,金剛頂瑜伽三十七尊禮,Jingang Ding Yujia San Shi Qi Zun Li,Vajra Crown Yoga and Thirty Seven Deities Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Related to T 872; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本 Source: Ming canon.,Ming canon,http://tripitaka.cbeta.org/T18n0879,2016-09-28
880,18,1,瑜伽金剛頂經釋字母品,Yujia Jingang Ding Jing Shi Zimu Pin,Explanation of Characters in the Yoga Vajra Crown Tantra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Gives a meaning to each letter of the Sanskrit alphabet; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 746-774 from Lancaster (2004, 'K 1370')",Korean Canon,http://tripitaka.cbeta.org/T18n0880,2016-09-28
881,18,1,賢劫十六尊,Xian Jie Shiliu Zun,Sixteen Worthies of the Present Kalpa,,,,,,,,Lists each of the deities in the vajradhatu mandala of the present kalpa and gives mantras in Siddham letters; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和二年刊長谷寺藏本 Source: published in the second year of the Kyōwa era [1801-1804] in the Hase-dera canon.,Hase-dera,http://tripitaka.cbeta.org/T18n0881,2016-09-28
882,18,30,佛說一切如來真實攝大乘現證三昧大教王經,Fo Shuo Yiqie Rulai Zhenshi She Dasheng Xian Zheng Sanmei Da Jiao Wang Jing,Sarvatathāgatatattvasaṁgraha (Compendium of True Principles of all Tathāgatas),施護等,譯,Dānapāla and others,Translated,宋,Song,1012-1015,A full translation of the Sarvatathāgatatattvasaṃgraha; see also T 865.,"Sanskrit title and date 1012-1015 from Lancaster (Lancaster 2004, 'K 1466')",Korean Canon,http://tripitaka.cbeta.org/T18n0882,2016-09-28
883,18,4,佛說祕密三昧大教王經,Fo Shuo Mimi Sanmei Da Jiao Wang Jing,Guhyasamayagarbharāja,施護等,譯,Dānapāla and others,Translated,宋,Song,1010,Related to T 865; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Sanskrit title and date 1010 from Lancaster (2004, 'K 1454')",Korean Canon,http://tripitaka.cbeta.org/T18n0883,2016-09-28
884,18,3,佛說祕密相經,Fo Shuo Mimi Xiang Jing,Guhyagarbharāja,施護等,譯,Dānapāla and others,Translated,宋,Song,1011,A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Sanskrit title and date 1011 from Lancaster (2004, 'K 1462')",Korean Canon,http://tripitaka.cbeta.org/T18n0884,2016-09-29
885,18,7,佛說一切如來金剛三業最上祕密大教王經,Fo Shuo Yiqie Rulai Jingang San Ye Zuishang Mimi Da Jiao Wang Jing,Guhyasamājatantra,施護等,譯,Dānapāla,Translated,宋,Song,1002,A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Sanskrit title and date 1002 from Lancaster (Lancaster 2004, 'K 1418')",Korean Canon,http://tripitaka.cbeta.org/T18n0885,2016-09-29
886,18,1,佛說金剛場莊嚴般若波羅蜜多教中一分,Fo Shuo Jingang Chang Zhuangyan Boreboluomiduo Jiao Zhong Yi Fen,Srīvajramaṇḍālaṁkāramahātantrarāja,施護等,譯,Dānapāla,Translated,宋,Song,1007,"Literally meaning “Secret Assembly Tantra,” the Guhyasamājatantra is an important tantra in esoteric Buddhism, known as the “king of tantras” in Tibetan practice. It has an overt sexual nature.","Sanskrit title and date 1007 from Lancaster (2004, 'K 1442')",Korean Canon,http://tripitaka.cbeta.org/T18n0886,2016-09-29
887,18,6,佛說無二平等最上瑜伽大教王經,Fo Shuo Wu Er Pingdeng Zuishang Yujia Da Jiao Wang Jing,Advayasamatāvijayakalparāja,施護等,譯,Dānapāla,Translated,宋,Song,1006,Related to T 865; a text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Sanskrit title and date 1006 from Lancaster (2004, 'K 1434')",Korean Canon,http://tripitaka.cbeta.org/T18n0887,2016-09-29
888,18,2,一切祕密最上名義大教王儀軌,Yiqie Mimi Zuishang Mingyi Da Jiao Wang Yi Gui,Sarvarahasyatantrarāja,施護等,譯,Dānapāla,Translated,宋,Song,1009,A text included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Sanskrit title and date 1009 from Lancaster (2004, 'K 1452')",Korean Canon,http://tripitaka.cbeta.org/T18n0888,2016-09-29
889,18,5,一切如來大祕密王未曾有最上微妙大曼拏羅經,Yiqie Rulai Da Mimi Wang Wei Ceng You Zuishang Weimiao Da Man Na Luo Jing,Great Secret Wonderous Abdhutadharma Mandala of All Tathagatas Sutra,天息災,譯,Tian Xi Zai,Translated,宋,Song,986-987,An esoteric yoga teaching describing a mandala ritual included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 986-987 from Lancaster (2004, 'K 1155')",Korean Canon,http://tripitaka.cbeta.org/T18n0889,2016-09-29
890,18,5,佛說瑜伽大教王經,Fo Shuo Yujia Da Jiao Wang Jing,Māyājālamahātantra,法賢,譯,Faxian,Translated,宋,Song,989,"Ritual manual for worship to Mārīcī, included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.","Sanskrit title and date 989 from Lancaster (Lancaster 2004, 'K 1220')",Korean Canon,http://tripitaka.cbeta.org/T18n0890,2016-09-29
891,18,1,佛說幻化網大瑜伽教十忿怒明王大明觀想儀軌經,Fo Shuo Huanhua Wang Da Yujia Jiao Shi Fennu Ming Wang Da Ming Guan Xiang Yi Gui Jing,Net of Illusions Great Yoga Ten Wrathful Wisdom Kings Contemplation Ritual Manual,法賢,譯,Faxian,Translated,宋,Song,989-999,Included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 989-999 from Lancaster (2004, 'K 1210')",Korean Canon,http://tripitaka.cbeta.org/T18n0891,2016-09-29
