Traditional	Occurences
光明王	295
佛具	295
廢立	295
優樓	295
四定	294
慈恩	294
事火	294
經道	294
順生	294
讀經	294
四流	294
方等經	294
行樹	293
身土	293
十地經	293
忍智	293
受蘊	293
衲子	293
勝業	293
經宗	292
幻法	292
智悲	292
化菩薩	291
顯宗	291
墮負	291
寶鈴	291
善星	290
隨釋	290
末代	290
甘露法	290
成就四法	290
精進根	289
寶印	288
遷化	288
僧正	288
法愛	287
對法論	287
宗義	287
相應縛	286
堅法	286
戒禁	286
群萌	286
受空	286
小法	285
義便	285
法流	285
三目	285
言句	285
曼陀	284
毘婆沙師	284
惡果	284
文理	284
在家出家	284
生酥	284
西明	283
大陀羅尼	283
三周	283
真覺	283
惡露	283
覺義	283
愛緣	283
東山	283
四空	283
根本印	283
識食	282
道化	282
請益	282
梵釋	282
說聽	281
十劫	281
密印	281
菩薩淨戒	281
未知根	281
六天	281
劫比	281
無心定	280
愛法	280
觸食	280
心量	280
頂法	280
靜室	280
三語	280
馬勝	280
法食	279
四恩	279
紫金	279
離間語	279
十德	279
五度	279
目佉	279
欲天	278
婆訶	278
七方便	278
師檀	278
一真	278
水乳	278
忍位	278
韋陀	277
四聖	277
修性	277
性海	276
瞋恚心	276
一法界	276
用大	276
性地	276
直說	276
一切智人	275
袈裟衣	275
大寺	275
孝養	274
淨法界	274
慧心	274
行籌	274
尊像	274
歷劫	274
雨華	274
檢校	273
三戒	273
五百世	273
隱身	273
生死流	273
四業	273
業性	272
摩訶羅	272
雜毒	272
三乘教	272
神境	272
遺法	272
持齋	272
三善根	271
十六心	271
報障	271
難入	271
法財	270
力無畏	270
順逆	270
龜毛	270
五百年	270
法集	269
空閑處	269
假觀	269
一剎	268
入觀	268
功德水	268
佛壽	268
念僧	268
四菩薩	268
觀因緣	268
八解	268
義味	268
宿習	267
興世	267
掃地	266
如實知見	266
觀解	266
僧祇律	266
寶聚	265
二滅	265
九門	265
世論	265
三蘊	265
功德衣	265
無明使	265
說通	264
人中尊	264
一空	264
智波羅蜜	264
八門	264
經家	264
玄義	264
三等	264
歸真	263
染愛	263
深智	263
業種	263
央掘	263
五樂	263
分別起	263
二天	262
一城	262
惡說	262
忍法	262
法見	262
果果	262
欲覺	262
二解脫	262
六欲	262
歌羅	261
地種	261
別解脫律儀	260
外塵	260
無上尊	260
長者女	260
波提	259
十指	259
投子	259
妙境	259
餘乘	259
葛藤	258
歸依僧	258
經律論	258
機感	257
八萬歲	257
苦空	257
八倒	257
浮陀	257
識變	257
真修	257
摩訶迦旃延	257
經王	257
女天	256
破執	256
圓悟	256
果人	256
淨國	256
大明王	256
清涼山	256
句句	256
供養法	255
四病	255
落髮	255
招提	255
導引	254
住果	254
煩惱病	254
教一	254
底沙	254
私陀	254
法主	254
衣法	254
娑羅王	254
一滅	254
大醫王	253
槃荼	253
應佛	253
利智	253
博叉	253
真善	253
三漏	252
貪染	252
迴施	252
聖凡	252
一佛土	252
開覺	252
授決	252
乞灑	252
稟教	251
二德	251
大法師	251
造塔	251
黑業	251
善賢	251
迷理	250
法類	250
十五心	250
改悔	250
迦多	250
興化	250
雲心	250
命難	249
三淨	249
三節	249
非時食	249
分別智	249
聖尊	248
生支	247
禪人	247
四身	247
毘陀	247
齋法	247
行乞	247
三境	247
乾闥婆王	247
金翅鳥王	247
剎塵	246
妙明	246
自性差別	246
意三	245
一佛乘	245
應果	245
九想	245
空生	245
梵德	245
摩醯	245
煩惱習	245
色味	244
僧錄	244
四塵	244
偏執	244
法華論	244
一成	244
六親	244
五性	243
異解	243
無憂王	243
戒場	243
愛行	243
不動法	242
應能	242
海會	242
垢染	241
舊住	241
娑羅林	241
四隨	241
陵伽	241
正定聚	241
三無為	240
蘇羅	240
三師	240
見愛	240
忿怒明王	240
修伽陀	240
講經	240
難經	240
三拜	239
玄旨	239
念戒	239
瞻波	239
魔天	238
付法	238
勒叉	238
報土	238
三支	238
解空	238
金師	238
一寶	238
前佛	237
盧舍	236
無上法輪	236
三過	236
智心	236
肉身	236
五教	236
迦摩	236
觀佛三昧	235
業苦	235
法界性	235
魔宮	235
眾生世間	234
掉悔	234
四修	234
二土	234
明師	234
如來常住	234
二聖	234
二力	234
身清淨	234
貧女	234
大火聚	233
別解脫戒	233
根器	233
智積	233
內凡	233
受衣	232
今家	232
生忍	232
露柱	231
白業	231
偏圓	231
釋師子	231
刀山	231
來應	231
滅法智	230
北洲	230
婆沙論	230
香嚴	230
一山	229
赤真珠	229
水天	229
寶藏如來	229
白蓮	229
內識	229
空定	229
淨定	229
薄地	228
惡緣	228
闇鈍	228
開堂	228
三階	228
勝身	227
天使	227
大魚	227
落迦	227
煖法	227
信戒	227
心寂靜	227
天行	227
一印	227
陞座	226
在俗	226
無學果	226
過慢	226
踰闍那	226
經體	226
鶖子	226
撿挍	226
分證	225
樞要	225
念定	225
骨人	225
凡小	225
三土	225
二死	225
報緣	224
十八變	224
加行善	224
虛言	224
娑婆訶	224
一真如	223
石門	223
聲教	223
曠劫	223
尊特	223
牛頭栴檀	223
持地	223
大乘教	222
雜業	222
道眼	222
部母	222
多貪	222
三想	222
一形	221
三舉	221
衣界	221
前修	221
心神	221
大定	220
禪三昧	220
劫貝	219
定異	219
差摩	219
三垢	219
彌樓	219
胎經	219
啟白	219
思法	219
定光	218
變易生死	218
疑蓋	218
十纏	218
三點	217
白牛	217
真子	217
不定聚	217
立教	217
九無間道	216
緣觀	216
念天	216
一燈	216
俱盧舍	216
二苦	216
六群比丘尼	216
妙旨	216
五色光	216
執見	216
稱念	216
力生	216
重障	216
普化	215
洲渚	215
二祖	215
信順	215
梵福	215
釋女	214
寶池	214
九世	214
說罪	214
無邊身	214
二宗	214
第三分	213
中般	213
華色	213
唐三藏	213
乞士	212
果上	212
大事因緣	211
僧伽胝	211
象寶	211
天香	211
聲處	211
西行	211
三宗	211
辨體	211
十夜	211
邊無邊	211
聲入	211
四弘	210
九流	210
序品	210
鳩羅	210
六根清淨	210
勝意	210
方外	210
法譬	210
慧見	209
缺漏	209
自性清淨心	209
作戒	209
五業	209
佉羅	209
馬師	209
路迦	209
二童子	208
聖主	208
四聖種	208
少善根	208
最上乘	207
獨尊	207
內院	207
敬順	207
累劫	207
闍王	207
毒氣	207
因陀羅網	207
時食	207
實教	207
慈忍	207
毘摩質多羅	206
十乘	206
法聲	206
異執	206
見聞疑	206
覆面	206
誹謗正法	205
自然智	205
果後	205
忍行	205
三明六通	205
梵聲	204
曇無德	204
觀慧	204
行性	204
燈王	204
威怒	203
執藏	203
烏波	203
義解	203
解界	203
聖語	203
夜叉羅剎	202
涅槃城	202
器世界	202
金翅	202
演暢	202
行用	201
十世	201
含生	201
香木	201
欲塵	201
果海	201
理一	201
業成	201
舍婆提	201
商佉	201
三科	201
八邪	201
四識住	201
觀道	200
了義經	200
弘宣	200
寒林	200
不動如來	200
雨寶	200
宿緣	200
淨覺	199
浮雲	199
五情	199
垂跡	199
佛藏	199
離欲地	199
圓觀	199
菩提道場	199
惡覺	199
劫燒	198
性惡	198
伽梨	198
語等	198
兩序	198
摩利	198
教證	198
幻惑	198
五生	198
東流	197
根本定	197
順現	197
二女	196
擇力	196
大乘心	196
定聚	196
特勝	196
停心	196
清淨人	196
蘇油	195
旨歸	195
第五十	195
善來比丘	195
真諦三藏	194
因緣說	194
尼犍	194
引接	194
軌儀	194
會眾	194
心空	194
三自性	194
乾闥婆城	194
末底	194
二如來	194
三難	193
住位	193
中宗	193
作舉	193
宗乘	193
妙玄	193
金剛合掌	193
大化	192
金剛王	192
多瞋	192
身病	192
業風	192
優婆塞戒	192
十二緣生	192
貪欲蓋	191
欽婆羅	191
姑臧	191
教起	191
醉象	191
顯明	191
六結	191
闥婆	191
中含	191
道流	191
明地	191
驚覺	190
親緣	190
願海	190
婆梨	190
弘通	190
說示	190
精進心	190
逆觀	190
法論	190
真佛子	190
智智	190
良福田	190
寶地	189
開眼	189
人師	189
魔子	189
真見道	189
畢陵	189
物機	189
婆須蜜	189
深行	189
二衣	189
提羅	188
揣食	188
小機	188
四論	188
浮囊	188
賊住	188
苦蘊	187
四戒	187
餘習	187
圓果	187
溫室	187
支讖	187
應頌	187
金剛慧	186
毘舍闍	186
十八日	186
第六意識	186
菩薩僧	186
寶林	186
不動尊	186
虛空無邊	186
石女	185
十願	185
金剛句	185
上慢	185
蘇悉地	185
印明	185
受用土	185
多足	185
香王	184
校飾	184
要行	184
理具	184
五星	184
毘梨	184
地天	184
五百問	184
正食	184
灰河	184
荷擔	183
息化	183
龍牙	183
順流	183
現通	183
莊嚴三昧	183
三昧印	183
貪惜	182
世雄	182
二現	182
怨結	182
方便波羅蜜	182
梵宮	182
三歸五戒	182
彌伽	182
惡律儀	182
二覺	182
八會	181
示教	181
難化	181
劫海	181
草堂	181
五淨	181
等侶	181
四難	180
金輪王	180
頭首	180
不定性	180
積功	180
龍子	180
五雲	180
正法念經	180
宗要	180
毘首	180
二王	179
樂天	179
一途	179
三止	179
情塵	179
轉教	179
心顛倒	179
意成	179
戒善	179
度僧	178
草鞋	178
果分	178
十喻	178
神道	177
三色	177
一際	177
事觀	177
丹霞	177
魔梵	177
牛跡	177
玉泉	177
入法界品	177
慧業	177
空聚	177
親教	177
部主	177
金鼓	177
平等觀	177
跋渠	177
萬境	176
佛法藏	176
小乘經	176
金剛定	176
日天子	176
正化	176
孤山	176
愚法	175
傍生趣	175
七使	175
寶海	175
大船	175
本起經	175
殺業	175
開法	174
趣寂	174
五說	174
含靈	174
第三地	174
智慧光	174
一大事	174
心城	174
道術	174
十善業	174
雜修靜慮	174
一夏	174
語善	174
界趣	174
性具	174
寂用	174
八重	174
染色	174
波波	173
茶毘	173
塵境	173
佛物	173
五熱	173
異部	173
專行	173
化行	173
道門	172
舊論	172
法業	172
種子識	171
生論	171
摩多	171
九會	171
深法門	171
妙體	171
堂上	171
識神	171
飲光	171
神智	171
達池	170
化道	170
鄉人	170
經題	170
智燈	170
聲聞說	170
觸境	170
菩薩性	169
梵字	169
毛頭	169
西方淨土	169
三摩跋提	169
破魔	169
二愚	169
入塔	169
飲食供養	169
道前	168
言便	168
付屬	168
闇室	168
宿曜	168
親教師	168
一切智地	168
死王	168
慈明	168
睦州	167
不了義經	167
鐵城	167
婆藪	167
窟宅	167
圓妙	167
二縛	167
四宗	167
瞿波	167
摩頭	166
時經	166
習種性	166
人尊	166
宗風	166
二涅槃	166
歸戒	166
一解脫	166
金棺	166
富羅	166
十境	166
順世	165
富伽羅	165
十業道	165
賢士	165
一心頂禮	165
定判	165
無量壽如來	165
一心三觀	165
定門	165
白拂	164
赴機	164
迷心	164
火爐	164
根本禪	164
五善	164
偷婆	164
二罪	164
九孔	164
百日	164
業疏	164
涅槃門	163
言詮	163
外護	163
虛妄法	163
法苑	163
第三果	163
二量	163
慳心	163
三方便	162
大灌頂	162
小食	162
檀度	162
邪觀	162
一息	162
引果	162
安慧	162
假合	162
單白	162
宗論	162
一四句偈	162
有情居	162
三力	162
重翻	162
業體	162
高士	161
金人	161
小師	161
理體	161
二語	161
事智	161
三疑	161
三兩	161
圓修	161
受齋	161
四微	161
優填王	161
宗體	160
三十六物	160
欲性	160
二嚴	160
耆闍	160
餘結	160
邪思惟	160
十方剎	160
四節	160
十通	160
色境	160
沓婆	160
琥珀	160
跡門	160
五寶	160
生公	159
二光	159
十聖	159
厭世	159
佛印	159
真知	159
身器	159
字等	158
訶利	158
顯密	158
善力	158
人師子	158
定水	158
入堂	158
闇障	158
見緣	158
無量識	158
鬼病	158
白鶴	158
十地品	157
增上慧學	157
海東	157
瓶水	157
一蓋	157
煩惱賊	157
一宗	157
根識	156
六畜	156
同教	156
七多羅樹	156
寄位	156
苦性	155
淨佛	155
三十棒	155
妙悟	155
紫衣	155
經釋	155
七經	155
十業	155
鳥跡	155
四味	155
慧生	155
寫經	154
摩提	154
決定信	154
行履	154
三妙行	154
鐵牛	154
藍婆	154
八戒齋	154
瞿夷	154
八忍	153
出世心	153
周羅	153
八聖	153
定散	153
法身菩薩	153
持念	153
勃陀	153
歸寂	153
金色身	153
虎丘	153
天龍夜叉	152
三摩曳	152
一雨	152
光聚	152
十妙	152
光雲	152
忍界	152
弘教	152
一大劫	152
塵剎	152
提訶	152
二持	152
摩伽	152
陀羅尼印	152
三忍	152
扇搋	151
象鼻	151
沙界	151
寶積經	151
開曉	151
苦陰	151
根本業道	151
體大	151
緣念	151
偏真	151
毛道	151
三念處	151
歸仰	151
器界	150
偽經	150
女聲	150
一法身	150
無上道心	150
七難	150
師主	150
真實行	150
三子	150
論宗	149
寶洲	149
蘇合	149
三念住	149
外典	149
要道	149
瞿摩夷	149
聖師	149
清信女	149
八味	149
道觀	149
淨天眼	149
賢劫千佛	149
十種智	149
寶階	149
種德	149
慧燈	148
機應	148
通序	148
娑羅雙樹	148
紅蓮華	148
摩伽陀	148
開元寺	148
誡勸	148
四句分別	148
無相觀	148
餓鬼趣	148
人鬼	147
中乘	147
行學	147
定戒	147
忿怒王	147
一機	147
槃特	147
思食	147
印持	147
二證	147
五色根	147
念死	147
出世智	146
惡觸	146
自覺聖智	146
剝皮	146
中間禪	146
退大	146
珂貝	146
惡時	146
閑處	145
如來部	145
魔境	145
七子	145
破立	145
大法鼓	145
通途	145
群迷	145
十一根	145
菩薩種性	145
能藏	145
慧門	145
小行	145
解惑	145
金粟	145
薜荔	145
影勝	144
十八部	144
空色	144
第二月	144
見慧	144
祖意	144
後安居	144
源底	144
語菩薩	144
十二因緣經	144
明論	144
波利婆沙	144
大施主	144
六住	144
無垢施	144
開示悟入	143
囑累品	143
反抄	143
海龍王	143
勝解作意	143
十忍	143
惑人	143
堂司	143
硨磲	143
一念相應	143
聲聞僧	143
摩男	143
如如智	142
無量億劫	142
妙眼	142
病行	142
夏末	142
增上戒學	142
終南	142
義例	142
福果	142
車軸	142
舍夷	142
二求	142
摩迦	142
方便經	142
深禪定	142
寂滅樂	142
煩惱海	142
帝青	142
雜行	141
慧劍	141
三煩惱	141
四大海	141
應儀	141
明月珠	141
二惑	141
決定性	141
光明三昧	141
法蘊	141
心苦	141
悔過經	141
上煩惱	141
讚禮	141
瞻病	141
智諦	140
四世	140
心海	140
大佛頂	140
大青	140
心精進	140
九道	140
祈雨	140
七識住	140
歡喜園	140
四障	140
大善利	140
證覺	140
細色	140
密經	140
契會	140
餘蘊	140
瓦師	139
淨月	139
願度	139
看經	139
四乘	139
一恒河沙	139
念施	139
心趣	139
世典	139
禪行	139
繒蓋	139
石女兒	138
請轉法輪	138
門經	138
十方佛土	138
正令	138
愛河	138
普法	138
深法忍	138
群機	138
四力	138
相續心	138
標幟	138
疑使	138
力波羅蜜	137
不空三藏	137
真語	137
轉計	137
大莊嚴論	137
念佛門	137
金地	137
延年	137
三光	137
末摩	137
在纏	136
八輩	136
一心合掌	136
五股	136
除蓋障菩薩	136
閱叉	136
行證	136
三摩地法	136
等空	136
寂靜行	136
一棒	136
施化	136
相見道	136
根缺	135
船筏	135
禪客	135
七星	135
取支	135
一心敬禮	135
聖觀自在菩薩	135
智火	135
法界智	135
如來藏性	135
生死際	135
九劫	135
通夜	134
迦維	134
繫緣	134
道戒	134
院主	134
妙蓮華	134
三佛子	134
一持	134
性種性	134
新發意菩薩	134
寶部	134
四儀	134
戒疏	133
離貪心	133
大統	133
清淨施	133
分段生死	133
定智	133
多體	133
毒樹	133
四願	133
行香	133
維衛	133
三倒	133
真境	133
九解脫道	133
蓋纏	132
特尊	132
妙中	132
宿直	132
血脈	132
有漏行	132
軌範師	132
信伏	132
願波羅蜜	132
釋籤	132
資緣	132
福地	132
乾闥	132
世善	132
四比丘	132
圓位	132
釋典	132
普說	132
報恩經	132
知淨	131
世間眼	131
二苾芻	131
落叉	131
福德莊嚴	131
大悲經	131
行雨	131
四執	131
真寂	131
律行	131
百界	131
世界主	131
風天	131
陰藏	131
前安居	130
慈尊	130
摩梨	130
五髻	130
平等覺	130
情見	130
五苦	130
死海	130
太虛空	130
四喻	130
三覺	130
大愚	130
烏瑟	130
義無礙	130
長壽天	130
食前	129
真證	129
珂雪	129
香入	129
濁亂	129
證大菩提	129
火淨	129
皮衣	129
緣佛	129
齋時	129
化境	129
八道支	129
二忍	129
迷盧	129
六物	128
一乘法	128
罪根	128
來果	128
存略	128
二惡	128
卑慢	128
五色線	128
閻王	128
梁攝論	128
授手	128
道緣	128
毘陀羅	128
善戒經	128
訶字	128
捨覺支	128
根本煩惱	127
三樂	127
教命	127
外學	127
九惱	127
受歲	127
傳持	127
係念	127
飯僧	127
無言菩薩	127
登座	127
禪戒	127
欲流	126
法城	126
教跡	126
婆城	126
大權	126
舍摩	126
教興	126
有漏道	126
蘇蜜	126
勝數	126
虛空身	126
迷倒	126
法界身	126
受職	125
四眼	125
唯識觀	125
水想	125
廣大智	125
經師	125
馬麥	125
閼伽水	125
闍夜	125
申日	125
識浪	125
圓宗	125
果遂	125
如來衣	125
念念相續	125
地人	125
蘇迷	124
三羯磨	124
事善	124
結護	124
一俱胝	124
四知	124
死畏	124
欲苦	123
義無礙解	123
八十億劫	123
宿植	123
真說	123
地獄趣	123
八自在	123
十惡業	123
雨花	123
魔民	123
五惡	122
天蓋	122
佛願	122
金剛鎖	122
清涼池	122
伊蘭	122
靜息	122
顯益	122
十二頭陀	122
延命	122
受日	122
婆毘	121
觀世音經	121
吉祥草	121
五過	121
他心智通	121
倒懸	121
一藏	121
慢使	121
思惑	121
淨道	121
光光	121
四惡	120
雙流	120
禪慧	120
二轉	120
內緣	120
魔網	120
肉色	120
提桓	120
三草	120
真妙	120
付財	120
無量無數劫	120
道體	120
聲聞菩提	120
四印	120
遊山	119
始成正覺	119
外用	119
摩竭陀	119
乘戒	119
愛水	119
一增	119
意力	119
空王	119
教諦	119
五音	119
正法時	119
四河	119
二八	119
教外	119
大慢	119
十問	119
七俱胝	119
三寶物	119
味入	119
大迦旃延	118
五百生	118
雙運	118
夏中	118
七曜	118
二六	118
小樹	118
東陽	118
懺主	118
定善	118
愚鈍	118
內明	118
琉璃王	118
靈雲	118
縛脫	118
大鑑	118
魔女	117
迷事	117
光瑞	117
八天	117
全身舍利	117
見流	117
空解	117
滅果	117
三清淨	117
發智論	117
二際	117
迷情	117
鷲嶺	117
聖典	117
臨壇	117
三如來	117
牒釋	117
三不善	117
真明	117
莊嚴經	117
末伽	117
三欲	117
有情世間	117
邊罪	117
自性分別	117
打擲	116
祇洹精舍	116
三變	116
迷執	116
大根	116
持明仙	116
六波	116
禪要	116
煩惱道	116
鴈王	116
無漏果	116
見正	116
最後心	116
月蓋	115
大香	115
戒羸	115
四梵行	115
因果經	115
易行	115
肉食	115
同參	115
唱導	115
伊沙	115
深玄	115
化土	115
六蔽	115
佛跡	115
如來座	115
最後生	115
應跡	115
污家	115
名句文	115
立地	115
轉法輪時	115
一日三時	115
安禪	114
慧海	114
界分	114
三縛	114
眉間白毫相	114
無生門	114
四苦	114
千手	114
德生	114
五學處	114
嬰兒行	114
見縛	114
三要	114
怖魔	114
主事	114
戒賢	114
樂說無礙	113
草座	113
阿伽陀	113
愛道	113
義辯	113
壽經	113
智炬	113
石火	113
一三昧	113
伊舍那	113
慈光	112
妙音菩薩	112
覺行	112
龍泉	112
毘紐	112
能成立	112
分別識	112
香稻	112
長壽王	112
淨行品	111
冒地	111
迦夷	111
四波羅蜜	111
濁惡	111
柯羅	111
內界	111
總持經	111
八定	111
觸樂	111
願自在	111
置答	111
僧涅	111
散地	111
見顛倒	111
金剛鈴	111
五頂	111
七隨眠	111
無著行	110
苦業	110
淨眾	110
十煩惱	110
波帝	110
柔順忍	110
無我觀	110
如來家	110
三愛	110
月氏國	110
無上慧	110
聖胎	110
吠琉璃	110
四阿含	110
四惑	110
解脫戒	109
淨菩提心	109
縛迦	109
行願品	109
身戒	109
頂位	109
八念	109
旃延	109
紺琉璃	109
國一	109
欲縛	109
龐居士	109
宗致	109
真乘	109
浮木	109
適化	109
無上涅槃	109
大壇	109
三報	109
寂靜法	109
香飯	109
法侶	109
真如法身	109
功德使	109
一四天下	109
五方便	109
染習	108
釋梵護世	108
妙典	108
寂靜樂	108
權實二智	108
地觀	108
慧炬	108
黃衣	108
等妙	108
業海	108
拘利	108
平等法身	108
摩竭提	108
三火	108
緣起善巧	108
金錍	107
法果	107
鵂鶹	107
身火	107
結跏	107
少室	107
二愛	107
三界尊	107
十王	107
無所有處定	107
頂墮	107
結解	107
大洲	107
傳心	107
雜緣	107
般若論	107
西堂	106
有餘說	106
羯磨印	106
性境	106
樂說辯才	106
明神	106
異方便	106
觀達	106
西河	106
光觸	106
藏六	106
水淨	106
中悔	106
婆師	106
灌頂經	106
執金剛神	106
靈骨	106
染污意	106
五百仙人	106
佛使	106
優多羅	105
根境識	105
正習	105
畫像法	105
因緣性	105
請來	105
無色天	105
一句子	105
軍持	105
正因緣	105
八諦	105
性心	105
二食	105
四劫	105
財供養	104
海眾	104
禪道	104
果門	104
執情	104
信度	104
害覺	104
薰陸香	104
七慢	104
戒緩	104
叔迦	104
秉法	104
遠師	104
慧數	104
愛網	104
塵欲	104
薰修	103
真教	103
大禪師	103
覺樹	103
不動佛	103
陀羅尼品	103
開講	103
十隨眠	103
五妙	103
相續假	103
廣教	103
布施攝	103
心慧	103
狂象	103
一麻	103
五怖畏	103
性宗	102
前塵	102
隨妄	102
意許	102
大樹緊那羅	102
順化	102
修行經	102
小聖	102
僧統	102
智辯	102
迦陵	102
十障	102
人中師子	102
第二果	102
金言	102
禪室	102
二假	102
火珠	102
水壇	101
中安居	101
嗣法	101
像教	101
雜含	101
觸禮	101
智慧第一	101
教語	101
魔道	101
蓮華印	101
約機	101
犛牛	101
四蛇	101
昭玄	101
禪樂	101
南院	101
三軌	100
道交	100
黑風	100
槃陀	100
六味	100
鈍使	100
見煩惱	100
鼻入	100
四天大王	100
近事律儀	100
曼殊沙	100
斛飯	100
十眼	100
見網	100
諷經	100
大善知識	100
無性攝論	100
通化	99
欲界定	99
竹篦	99
五如來	99
龍天	99
禪寂	99
四捨	99
乘急	99
顯經	99
畜生趣	99
宿福	99
願文	99
通惑	99
摩訶僧祇	99
性分	99
見論	99
性念處	99
遺跡	99
十六大國	99
二護	99
九入	99
